Index	Master TC	Camera Clip Name	Master TC	Lens Focus Distance
     253	01:00:43:07	F003C005_190925_MN99	01:00:43:07	INF
     254	01:00:43:08	F003C005_190925_MN99	01:00:43:08	INF
     255	01:00:43:09	F003C005_190925_MN99	01:00:43:09	INF
     256	01:00:43:10	F003C005_190925_MN99	01:00:43:10	INF
     257	01:00:43:11	F003C005_190925_MN99	01:00:43:11	INF
     258	01:00:43:12	F003C005_190925_MN99	01:00:43:12	INF
     259	01:00:43:13	F003C005_190925_MN99	01:00:43:13	INF
     260	01:00:43:14	F003C005_190925_MN99	01:00:43:14	INF
     261	01:00:43:15	F003C005_190925_MN99	01:00:43:15	INF
     262	01:00:43:16	F003C005_190925_MN99	01:00:43:16	INF
     263	01:00:43:17	F003C005_190925_MN99	01:00:43:17	INF
     264	01:00:43:18	F003C005_190925_MN99	01:00:43:18	INF
     265	01:00:43:19	F003C005_190925_MN99	01:00:43:19	INF
     266	01:00:43:20	F003C005_190925_MN99	01:00:43:20	INF
     267	01:00:43:21	F003C005_190925_MN99	01:00:43:21	INF
     268	01:00:43:22	F003C005_190925_MN99	01:00:43:22	INF
     269	01:00:43:23	F003C005_190925_MN99	01:00:43:23	INF
     270	01:00:44:00	F003C005_190925_MN99	01:00:44:00	INF
     271	01:00:44:01	F003C005_190925_MN99	01:00:44:01	INF
     272	01:00:44:02	F003C005_190925_MN99	01:00:44:02	INF
     273	01:00:44:03	F003C005_190925_MN99	01:00:44:03	INF
     274	01:00:44:04	F003C005_190925_MN99	01:00:44:04	INF
     275	01:00:44:05	F003C005_190925_MN99	01:00:44:05	INF
     276	01:00:44:06	F003C005_190925_MN99	01:00:44:06	INF
     277	01:00:44:07	F003C005_190925_MN99	01:00:44:07	INF
     278	01:00:44:08	F003C005_190925_MN99	01:00:44:08	INF
     279	01:00:44:09	F003C005_190925_MN99	01:00:44:09	INF
     280	01:00:44:10	F003C005_190925_MN99	01:00:44:10	INF
     281	01:00:44:11	F003C005_190925_MN99	01:00:44:11	INF
     282	01:00:44:12	F003C005_190925_MN99	01:00:44:12	INF
     283	01:00:44:13	F003C005_190925_MN99	01:00:44:13	INF
     284	01:00:44:14	F003C005_190925_MN99	01:00:44:14	INF
     285	01:00:44:15	F003C005_190925_MN99	01:00:44:15	INF
     286	01:00:44:16	F003C005_190925_MN99	01:00:44:16	INF
     287	01:00:44:17	F003C005_190925_MN99	01:00:44:17	INF
     288	01:00:44:18	F003C005_190925_MN99	01:00:44:18	INF
     289	01:00:44:19	F003C005_190925_MN99	01:00:44:19	INF
     290	01:00:44:20	F003C005_190925_MN99	01:00:44:20	INF
     291	01:00:44:21	F003C005_190925_MN99	01:00:44:21	INF
     292	01:00:44:22	F003C005_190925_MN99	01:00:44:22	INF
     293	01:00:44:23	F003C005_190925_MN99	01:00:44:23	INF
     294	01:00:45:00	F003C005_190925_MN99	01:00:45:00	INF
     295	01:00:45:01	F003C005_190925_MN99	01:00:45:01	INF
     296	01:00:45:02	F003C005_190925_MN99	01:00:45:02	INF
     297	01:00:45:03	F003C005_190925_MN99	01:00:45:03	INF
     298	01:00:45:04	F003C005_190925_MN99	01:00:45:04	INF
     299	01:00:45:05	F003C005_190925_MN99	01:00:45:05	INF
     300	01:00:45:06	F003C005_190925_MN99	01:00:45:06	INF
     301	01:00:45:07	F003C005_190925_MN99	01:00:45:07	INF
     302	01:00:45:08	F003C005_190925_MN99	01:00:45:08	INF
     303	01:00:45:09	F003C005_190925_MN99	01:00:45:09	INF
     304	01:00:45:10	F003C005_190925_MN99	01:00:45:10	INF
     305	01:00:45:11	F003C005_190925_MN99	01:00:45:11	INF
