Index	Master TC	Camera Clip Name	Master TC	Lens Focus Distance	Lens Focal Length
     148	00:35:05:17	A001C025_211130_ROI7	00:35:05:17	1.852	16.023
     149	00:35:05:18	A001C025_211130_ROI7	00:35:05:18	1.852	16.023
     150	00:35:05:19	A001C025_211130_ROI7	00:35:05:19	1.852	16.023
     151	00:35:05:20	A001C025_211130_ROI7	00:35:05:20	1.852	16.023
     152	00:35:05:21	A001C025_211130_ROI7	00:35:05:21	1.852	16.023
     153	00:35:05:22	A001C025_211130_ROI7	00:35:05:22	1.852	16.023
     154	00:35:05:23	A001C025_211130_ROI7	00:35:05:23	1.852	16.023
     155	00:35:05:24	A001C025_211130_ROI7	00:35:05:24	1.852	16.023
     156	00:35:06:00	A001C025_211130_ROI7	00:35:06:00	1.852	16.023
     157	00:35:06:01	A001C025_211130_ROI7	00:35:06:01	1.852	16.023
     158	00:35:06:02	A001C025_211130_ROI7	00:35:06:02	1.851	16.023
     159	00:35:06:03	A001C025_211130_ROI7	00:35:06:03	1.848	16.023
     160	00:35:06:04	A001C025_211130_ROI7	00:35:06:04	1.846	16.023
     161	00:35:06:05	A001C025_211130_ROI7	00:35:06:05	1.844	16.023
     162	00:35:06:06	A001C025_211130_ROI7	00:35:06:06	1.844	16.023
     163	00:35:06:07	A001C025_211130_ROI7	00:35:06:07	1.842	16.023
     164	00:35:06:08	A001C025_211130_ROI7	00:35:06:08	1.840	16.023
     165	00:35:06:09	A001C025_211130_ROI7	00:35:06:09	1.838	16.023
     166	00:35:06:10	A001C025_211130_ROI7	00:35:06:10	1.837	16.040
     167	00:35:06:11	A001C025_211130_ROI7	00:35:06:11	1.836	16.077
     168	00:35:06:12	A001C025_211130_ROI7	00:35:06:12	1.834	16.123
     169	00:35:06:13	A001C025_211130_ROI7	00:35:06:13	1.833	16.183
     170	00:35:06:14	A001C025_211130_ROI7	00:35:06:14	1.830	16.258
     171	00:35:06:15	A001C025_211130_ROI7	00:35:06:15	1.828	16.342
     172	00:35:06:16	A001C025_211130_ROI7	00:35:06:16	1.826	16.427
     173	00:35:06:17	A001C025_211130_ROI7	00:35:06:17	1.825	16.494
     174	00:35:06:18	A001C025_211130_ROI7	00:35:06:18	1.824	16.540
     175	00:35:06:19	A001C025_211130_ROI7	00:35:06:19	1.824	16.577
     176	00:35:06:20	A001C025_211130_ROI7	00:35:06:20	1.824	16.615
     177	00:35:06:21	A001C025_211130_ROI7	00:35:06:21	1.824	16.648
     178	00:35:06:22	A001C025_211130_ROI7	00:35:06:22	1.823	16.690
     179	00:35:06:23	A001C025_211130_ROI7	00:35:06:23	1.823	16.742
     180	00:35:06:24	A001C025_211130_ROI7	00:35:06:24	1.822	16.815
     181	00:35:07:00	A001C025_211130_ROI7	00:35:07:00	1.821	16.904
     182	00:35:07:01	A001C025_211130_ROI7	00:35:07:01	1.820	16.996
     183	00:35:07:02	A001C025_211130_ROI7	00:35:07:02	1.819	17.049
     184	00:35:07:03	A001C025_211130_ROI7	00:35:07:03	1.818	17.094
     185	00:35:07:04	A001C025_211130_ROI7	00:35:07:04	1.817	17.136
     186	00:35:07:05	A001C025_211130_ROI7	00:35:07:05	1.816	17.176
     187	00:35:07:06	A001C025_211130_ROI7	00:35:07:06	1.815	17.228
     188	00:35:07:07	A001C025_211130_ROI7	00:35:07:07	1.815	17.295
     189	00:35:07:08	A001C025_211130_ROI7	00:35:07:08	1.814	17.370
     190	00:35:07:09	A001C025_211130_ROI7	00:35:07:09	1.813	17.445
     191	00:35:07:10	A001C025_211130_ROI7	00:35:07:10	1.813	17.516
     192	00:35:07:11	A001C025_211130_ROI7	00:35:07:11	1.813	17.581
     193	00:35:07:12	A001C025_211130_ROI7	00:35:07:12	1.813	17.644
     194	00:35:07:13	A001C025_211130_ROI7	00:35:07:13	1.813	17.706
     195	00:35:07:14	A001C025_211130_ROI7	00:35:07:14	1.812	17.768
     196	00:35:07:15	A001C025_211130_ROI7	00:35:07:15	1.810	17.825
     197	00:35:07:16	A001C025_211130_ROI7	00:35:07:16	1.809	17.881
     198	00:35:07:17	A001C025_211130_ROI7	00:35:07:17	1.807	17.936
     199	00:35:07:18	A001C025_211130_ROI7	00:35:07:18	1.805	17.998
     200	00:35:07:19	A001C025_211130_ROI7	00:35:07:19	1.804	18.068
